Year;Oblako_v_shtanah;Fleita_pozvonochnik;Chelovek;Lublyu;Pro_Eto;Lenin;Khorosho;Vo_ves'_golos
1965;0.0005251250;0.0002352142;0.0002340789;0.0001778773;0.0003837605;0.0009300701;0.0008360234;0.0004143724
1966;0.0002984170;0.0001431230;0.0001268573;0.0000419444;0.0002908547;0.0004154681;0.0001593887;0.0001707416
1967;0.0007609930;0.0001916983;0.0001333115;0.0001984541;0.0007222234;0.0006450823;0.0010336150;0.0004780994
1968;0.0007760400;0.0004822714;0.0002326289;0.0002228581;0.0002779437;0.0009532673;0.0006190503;0.0007841433
1969;0.0006684090;0.0001554663;0.0000901408;0.0000972245;0.0003889427;0.0012707607;0.0007858983;0.0003727074
1970;0.0003817160;0.0000238051;0.0000158701;0.0000952203;0.0004275614;0.0015239492;0.0003967514;0.0003529548
1971;0.0002899730;0.0000638476;0.0000792447;0.0001496845;0.0003621566;0.0008883348;0.0004314435;0.0004080297
1972;0.0004388800;0.0000787772;0.0001423462;0.0001130033;0.0003031658;0.0004965790;0.0004780910;0.0004763439
1973;0.0003981600;0.0000904040;0.0001422803;0.0001397152;0.0003030498;0.0005424034;0.0002876490;0.0002371983
1974;0.0004630260;0.0000733708;0.0000409843;0.0001052559;0.0002150232;0.0003384774;0.0003238644;0.0001602477
1975;0.0002086030;0.0000584579;0.0001866965;0.0000165573;0.0002689755;0.0003759299;0.0003063096;0.0000964701
1976;0.0004709320;0.0001732812;0.0001091388;0.0000984498;0.0003018100;0.0006757138;0.0005168615;0.0004111605
1977;0.0003439010;0.0001797549;0.0000329968;0.0001056355;0.0002644682;0.0004309332;0.0003087806;0.0005562733
1978;0.0004558390;0.0001838025;0.0001520079;0.0002066646;0.0002319862;0.0004921668;0.0005881993;0.0002855430
1979;0.0003689720;0.0002044294;0.0000684904;0.0000084311;0.0001127291;0.0003123732;0.0002613638;0.0004145458
1980;0.0003776540;0.0001171268;0.0000679579;0.0000920282;0.0003167478;0.0006422368;0.0002593521;0.0002634855
1981;0.0002850070;0.0000509905;0.0000084984;0.0000424921;0.0001635784;0.0004545050;0.0002974445;0.0001335537
1982;0.0002806970;0.0001031674;0.0000000000;0.0001100780;0.0002094489;0.0004384278;0.0002878962;0.0002527122
1983;0.0006029560;0.0001608343;0.0000953963;0.0000506268;0.0003800370;0.0004063826;0.0005147058;0.0004736814
1984;0.0004700410;0.0002097454;0.0001287333;0.0000715819;0.0004676261;0.0004601648;0.0004453985;0.0005426573
1985;0.0001862890;0.0001335910;0.0000163189;0.0000163189;0.0001677488;0.0003018464;0.0003100588;0.0002697454
1986;0.0003933210;0.0000582715;0.0000247569;0.0000412614;0.0002618866;0.0004520300;0.0002145594;0.0003056976
1987;0.0003213580;0.0000929719;0.0000624558;0.0000000000;0.0001418305;0.0004936414;0.0003796354;0.0002492760
1988;0.0004004430;0.0001243633;0.0001243633;0.0001152691;0.0002266126;0.0003163120;0.0003150689;0.0003394468
1989;0.0004191430;0.0001986227;0.0000833202;0.0000828571;0.0001237611;0.0003105605;0.0002862338;0.0001601555
1990;0.0003485300;0.0001041657;0.0000804623;0.0000000000;0.0001348031;0.0002018810;0.0001027149;0.0001236684
1991;0.0003307120;0.0001203840;0.0000460770;0.0000552924;0.0001123361;0.0001497815;0.0000552924;0.0003145702
1992;0.0002084680;0.0001289421;0.0001823881;0.0000106892;0.0000768394;0.0001423179;0.0000213784;0.0000213784
1993;0.0005882620;0.0004710855;0.0001567922;0.0000221963;0.0001943401;0.0002408595;0.0000554908;0.0002914847
1994;0.0003654060;0.0001144092;0.0001545644;0.0000102119;0.0000837734;0.0001048899;0.0002246629;0.0001386992
1995;0.0003979270;0.0000330856;0.0001330441;0.0000551427;0.0000786031;0.0001130921;0.0000992568;0.0001603944
1996;0.0005652280;0.0003264757;0.0001398148;0.0000230611;0.0001506214;0.0001073949;0.0001268363;0.0000807140
1997;0.0006572400;0.0003720719;0.0003382800;0.0001407620;0.0002070374;0.0003103758;0.0002815240;0.0002490404
1998;0.0006137510;0.0002445857;0.0002452430;0.0001272669;0.0003976655;0.0001199483;0.0000636335;0.0004198320
1999;0.0006419720;0.0001532223;0.0006683773;0.0001240188;0.0002425839;0.0001246026;0.0002098780;0.0003493272
2000;0.0006550780;0.0002139193;0.0002461106;0.0000084334;0.0002829287;0.0002244091;0.0001096341;0.0002595713
2001;0.0008018740;0.0003198361;0.0001391450;0.0000345191;0.0001407477;0.0002129915;0.0001294467;0.0002266523
2002;0.0005013750;0.0002293253;0.0002293253;0.0000698964;0.0001697875;0.0001332178;0.0000873705;0.0003807840
2003;0.0006828430;0.0002719568;0.0001138988;0.0000244069;0.0001326566;0.0001681829;0.0000894919;0.0003301599
2004;0.0005730410;0.0002971098;0.0001683137;0.0000757411;0.0003338456;0.0001214048;0.0001598980;0.0002484178
2005;0.0008205000;0.0004625408;0.0001561750;0.0000344715;0.0001577552;0.0001442066;0.0001982108;0.0001929591
2006;0.0007221390;0.0003870082;0.0002415202;0.0000954563;0.0003010975;0.0001775802;0.0001909126;0.0004088466
2007;0.0006011930;0.0001327018;0.0001552629;0.0000328424;0.0002216138;0.0001907700;0.0001204220;0.0000985271
2008;0.0006693200;0.0002817912;0.0002170327;0.0000361721;0.0003699192;0.0003586071;0.0000844016;0.0003303152
